consistent with R3 themes,theme,subtheme,subtheme_description,real-data-only,read-interest-data,real-interest-chosen-data
NA,,overall negative,student disliked having choice,,,
NA,,overall impartial,student did not have a preference either way,,,
NA,,overall positive,student appreciated the ability to choose,,,
No,burden of choice,time,student noted the extra time involved with making a choice of data context,,,
No,burden of choice,decision,student felt it was difficult to choose a homework,,,
No,collaborating,peers,"peers were working on different assignments, so sharing work or getting help was harder",,,
NA,no difference,unaffected,student did not feel choice made any difference on their experience with the homework,,,
Yes,no difference,same,student thought the choice of data context was unimportant since the investigation steps were the same,,,
,no difference,uninteresting,students were not interested in any of the data contexts,,,
Yes,variety,variety,student appreciated variety of data contexts,,,
No,variety,more choice,student wanted more choice in future assignments or classes,,,Y
Yes,relevant to student,relatable,student liked having data they could relate to,,,
Yes,relevant to student,academic,students like data relevant to student's academic interests,,,
Yes,relevant to student,interesting,students like having data contexts they found interesting,,,
Yes,previous knowledge,familiar,student factored knowledge of data context into choice,,,
Yes,better experience,motivating,student felt more motivated to do the homework,,Y,
Yes,better experience,engaging,student felt the homework was more engaging,,Y,
Yes,better experience,fun,student expressed that the homework was more fun,,Y,
Yes,better experience,easier,student felt it was easier to work on homework,,Y,
NA,better experience,challenge,student felt the homework was challenging,,,
Yes,better experience,focus,the student felt they were able to better focus on assignment,,Y,
Yes,learn more about topic,learning,student enjoyed learning about data context through assignment,Y,,
No,context is valuable,helpful,student felt the data context helped them understand the statistical concepts better,,,
No,statistics is valuable,meaningful,student felt interesting data contexts helped make statistics meaningful instead of just being numbers,Y,,
No,statistics is valuable,real world,student expressed that statistics could have real world applications,Y,,
No,choice is valuable,autonomy,student appreciated having autonomy,,,Y
No,practice,practice,student appreciated the choice providing more practice through non chosen assignments,,,
,,creativity,student felt choice provided them an avenue for creativity,,,
NA,,point,student did not mind explaining their choice for the free point they received,,,
Yes,,subset,"student didn't feel having a choice changed their experience, but thought could it did for some students",,,
